Segment,R,G,B,PixelCount,PercentageArea,Assigned_Value
1,255,178,0,35,0.3416300634455832,26365.36416646694
7,255,168,0,15,0.1464128843338213,26483.31477016792
8,255,167,0,15,0.1464128843338213,26501.19757722238
10,255,170,0,54,0.527086383601757,26450.438209129745
12,255,197,0,109,1.063933626159102,25716.497805395316
13,255,196,0,14,0.1366520253782333,25746.97123962661
14,255,179,0,19,0.1854563201561737,26361.747690377888
15,255,167,0,13,0.1268911664226452,26501.19757722238
16,255,168,0,12,0.1171303074670571,26483.31477016792
17,255,208,0,308,3.0063445583211323,25482.218392989344
22,255,203,0,22,0.214738897022938,25564.957633813625
23,255,185,0,22,0.214738897022938,26338.14660122911
24,255,210,0,8299,81.00536847242557,25463.27130435548
25,255,175,0,10,0.0976085895558809,26387.09801275598
26,255,184,0,20,0.1952171791117618,26349.37818970474
28,255,189,0,19,0.1854563201561737,26277.577357075814
29,255,223,0,341,3.3284529038555397,24866.445403205274
30,255,192,0,19,0.1854563201561737,25884.72569885648
32,255,240,0,885,8.638360175695462,24430.350983773933
34,255,175,0,14,0.1366520253782333,26387.09801275598
